index,name,price,image,source
1,"Annibale Colombo Bed",360,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/1.webp,dj-11
2,"Annibale Colombo Sofa",415,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/1.webp,dj-12
3,"Bedside Table African Cherry",470,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/1.webp,dj-13
4,"Knoll Saarinen Executive Conference Chair",525,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/1.webp,dj-14
5,"Decoration Swing",580,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/1.webp,dj-43
6,"Family Tree Photo Frame",635,https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/1.webp,dj-44
7,"House Showpiece Plant",690,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/1.webp,dj-45
8,"Plant Pot",745,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/1.webp,dj-46
9,"Table Lamp",800,https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/1.webp,dj-47
10,"Mid-Century Modern Wooden Dining Table",801,https://i.imgur.com/DMQHGA0.jpeg,esc-29
11,"Elegant Golden-Base Stone Top Dining Table",989.78,https://i.imgur.com/NWIJKUj.jpeg,esc-30
12,"Modern Elegance Teal Armchair",1178.56,https://i.imgur.com/6wkyyIN.jpeg,esc-31
13,"Elegant Solid Wood Dining Table",1367.33,https://i.imgur.com/4lTaHfF.jpeg,esc-32
14,"Modern Ergonomic Office Chair",1556.11,https://i.imgur.com/3dU0m72.jpeg,esc-34
15,"Wooden Bathroom Sink With Mirror",1744.9,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/1.webp,dj-15
16,"Cooking Oil",1933.67,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/1.webp,dj-20
17,"Honey Jar",2122.44,https://cdn.dummyjson.com/product-images/groceries/honey-jar/1.webp,dj-27
18,"Rice",2311.22,https://cdn.dummyjson.com/product-images/groceries/rice/1.webp,dj-38
19,"Bamboo Spatula",2500,https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/1.webp,dj-48
20,"Black Aluminium Cup",2501,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/1.webp,dj-49
21,"Black Whisk",2556.44,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/1.webp,dj-50
22,"Boxed Blender",2611.88,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/1.webp,dj-51
23,"Carbon Steel Wok",2667.34,https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/1.webp,dj-52
24,"Chopping Board",2722.78,https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/1.webp,dj-53
25,"Citrus Squeezer Yellow",2778.22,https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/1.webp,dj-54
26,"Egg Slicer",2833.67,https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/1.webp,dj-55
27,"Electric Stove",2889.11,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/1.webp,dj-56
