id,parent_id,name,slug,level,path,department
1,,Women Fashion,women-fashion,1,Women Fashion,Women Fashion
2,1,Dresses,women-fashion-dresses,2,Women Fashion > Dresses,Women Fashion
3,1,Tops & Blouses,women-fashion-tops-blouses,2,Women Fashion > Tops & Blouses,Women Fashion
4,1,Jeans & Denim,women-fashion-jeans-denim,2,Women Fashion > Jeans & Denim,Women Fashion
5,1,Trousers,women-fashion-trousers,2,Women Fashion > Trousers,Women Fashion
6,1,Skirts,women-fashion-skirts,2,Women Fashion > Skirts,Women Fashion
7,1,Outerwear,women-fashion-outerwear,2,Women Fashion > Outerwear,Women Fashion
8,1,Activewear,women-fashion-activewear,2,Women Fashion > Activewear,Women Fashion
9,1,Lingerie,women-fashion-lingerie,2,Women Fashion > Lingerie,Women Fashion
10,1,Swimwear,women-fashion-swimwear,2,Women Fashion > Swimwear,Women Fashion
11,1,Plus Size,women-fashion-plus-size,2,Women Fashion > Plus Size,Women Fashion
12,,Men Fashion,men-fashion,1,Men Fashion,Men Fashion
13,12,Shirts,men-fashion-shirts,2,Men Fashion > Shirts,Men Fashion
14,12,T-Shirts & Polos,men-fashion-t-shirts-polos,2,Men Fashion > T-Shirts & Polos,Men Fashion
15,12,Jeans,men-fashion-jeans,2,Men Fashion > Jeans,Men Fashion
16,12,Chinos & Trousers,men-fashion-chinos-trousers,2,Men Fashion > Chinos & Trousers,Men Fashion
17,12,Jackets,men-fashion-jackets,2,Men Fashion > Jackets,Men Fashion
18,12,Suits & Blazers,men-fashion-suits-blazers,2,Men Fashion > Suits & Blazers,Men Fashion
19,12,Activewear,men-fashion-activewear,2,Men Fashion > Activewear,Men Fashion
20,12,Underwear,men-fashion-underwear,2,Men Fashion > Underwear,Men Fashion
21,12,Swimwear,men-fashion-swimwear,2,Men Fashion > Swimwear,Men Fashion
22,12,Big & Tall,men-fashion-big-tall,2,Men Fashion > Big & Tall,Men Fashion
23,,Kids & Baby,kids-baby,1,Kids & Baby,Kids & Baby
24,23,Boys Clothing,kids-baby-boys-clothing,2,Kids & Baby > Boys Clothing,Kids & Baby
25,23,Girls Clothing,kids-baby-girls-clothing,2,Kids & Baby > Girls Clothing,Kids & Baby
26,23,Baby Essentials,kids-baby-baby-essentials,2,Kids & Baby > Baby Essentials,Kids & Baby
27,23,Kids Footwear,kids-baby-kids-footwear,2,Kids & Baby > Kids Footwear,Kids & Baby
28,23,School Uniforms,kids-baby-school-uniforms,2,Kids & Baby > School Uniforms,Kids & Baby
29,23,Toys & Games,kids-baby-toys-games,2,Kids & Baby > Toys & Games,Kids & Baby
30,23,Kids Accessories,kids-baby-kids-accessories,2,Kids & Baby > Kids Accessories,Kids & Baby
31,,Shoes,shoes,1,Shoes,Shoes
32,31,Women Sneakers,shoes-women-sneakers,2,Shoes > Women Sneakers,Shoes
33,31,Women Heels,shoes-women-heels,2,Shoes > Women Heels,Shoes
34,31,Women Boots,shoes-women-boots,2,Shoes > Women Boots,Shoes
35,31,Men Sneakers,shoes-men-sneakers,2,Shoes > Men Sneakers,Shoes
36,31,Men Formal Shoes,shoes-men-formal-shoes,2,Shoes > Men Formal Shoes,Shoes
37,31,Men Boots,shoes-men-boots,2,Shoes > Men Boots,Shoes
38,31,Kids Shoes,shoes-kids-shoes,2,Shoes > Kids Shoes,Shoes
39,31,Sandals & Flip Flops,shoes-sandals-flip-flops,2,Shoes > Sandals & Flip Flops,Shoes
40,31,Sports Shoes,shoes-sports-shoes,2,Shoes > Sports Shoes,Shoes
41,,Bags & Accessories,bags-accessories,1,Bags & Accessories,Bags & Accessories
42,41,Handbags,bags-accessories-handbags,2,Bags & Accessories > Handbags,Bags & Accessories
43,41,Backpacks,bags-accessories-backpacks,2,Bags & Accessories > Backpacks,Bags & Accessories
44,41,Wallets,bags-accessories-wallets,2,Bags & Accessories > Wallets,Bags & Accessories
45,41,Belts,bags-accessories-belts,2,Bags & Accessories > Belts,Bags & Accessories
46,41,Hats & Caps,bags-accessories-hats-caps,2,Bags & Accessories > Hats & Caps,Bags & Accessories
47,41,Scarves,bags-accessories-scarves,2,Bags & Accessories > Scarves,Bags & Accessories
48,41,Sunglasses,bags-accessories-sunglasses,2,Bags & Accessories > Sunglasses,Bags & Accessories
49,41,Watches,bags-accessories-watches,2,Bags & Accessories > Watches,Bags & Accessories
50,41,Jewellery,bags-accessories-jewellery,2,Bags & Accessories > Jewellery,Bags & Accessories
51,41,Luggage,bags-accessories-luggage,2,Bags & Accessories > Luggage,Bags & Accessories
52,,Beauty & Personal Care,beauty-personal-care,1,Beauty & Personal Care,Beauty & Personal Care
53,52,Skincare,beauty-personal-care-skincare,2,Beauty & Personal Care > Skincare,Beauty & Personal Care
54,52,Makeup,beauty-personal-care-makeup,2,Beauty & Personal Care > Makeup,Beauty & Personal Care
55,52,Hair Care,beauty-personal-care-hair-care,2,Beauty & Personal Care > Hair Care,Beauty & Personal Care
56,52,Fragrance,beauty-personal-care-fragrance,2,Beauty & Personal Care > Fragrance,Beauty & Personal Care
57,52,Men Grooming,beauty-personal-care-men-grooming,2,Beauty & Personal Care > Men Grooming,Beauty & Personal Care
58,52,Bath & Body,beauty-personal-care-bath-body,2,Beauty & Personal Care > Bath & Body,Beauty & Personal Care
59,52,Nail Care,beauty-personal-care-nail-care,2,Beauty & Personal Care > Nail Care,Beauty & Personal Care
60,52,Oral Care,beauty-personal-care-oral-care,2,Beauty & Personal Care > Oral Care,Beauty & Personal Care
61,52,Tools & Brushes,beauty-personal-care-tools-brushes,2,Beauty & Personal Care > Tools & Brushes,Beauty & Personal Care
62,,Electronics,electronics,1,Electronics,Electronics
63,62,Smartphones & Accessories,electronics-smartphones-accessories,2,Electronics > Smartphones & Accessories,Electronics
64,62,Laptops & Tablets,electronics-laptops-tablets,2,Electronics > Laptops & Tablets,Electronics
65,62,Audio & Headphones,electronics-audio-headphones,2,Electronics > Audio & Headphones,Electronics
66,62,Cameras,electronics-cameras,2,Electronics > Cameras,Electronics
67,62,Wearables,electronics-wearables,2,Electronics > Wearables,Electronics
68,62,Smart Home,electronics-smart-home,2,Electronics > Smart Home,Electronics
69,62,Gaming,electronics-gaming,2,Electronics > Gaming,Electronics
70,62,Computer Peripherals,electronics-computer-peripherals,2,Electronics > Computer Peripherals,Electronics
71,62,Power Banks & Chargers,electronics-power-banks-chargers,2,Electronics > Power Banks & Chargers,Electronics
72,62,TV & Streaming,electronics-tv-streaming,2,Electronics > TV & Streaming,Electronics
73,,Home & Living,home-living,1,Home & Living,Home & Living
