id,sku,name,slug,brand,department,category_id,category_name,category_path,description,seo_title,meta_description,ean_base,attributes_json,supplier_code,warehouse_code,price,compare_at_price,wholesale_price,currency,rating_avg,review_count,stock_total,status,created_at
1,ZL00001,Voltura Midi Wrap Dress A45-350,voltura-midi-wrap-dress-a45-350-1,Voltura,Women Fashion,2,Dresses,Women Fashion > Dresses,The Voltura Midi Wrap Dress A45-350 sits in Women Fashion > Dresses. Built for everyday use with category-appropriate materials and finishing. Sold by verified catalogue suppliers; inspect variant options for colour and size.,Voltura Midi Wrap Dress A45-350 | Dresses | Buy Online,"Shop Voltura Midi Wrap Dress A45-350 in Dresses (Women Fashion). Fast shipping, verified sellers, secure checkout. Order today.",8882762400104,"{""department"": ""Women Fashion"", ""product_type"": ""midi wrap dress"", ""origin_country"": ""ID"", ""warranty_months"": 0, ""material"": ""Nylon"", ""fit"": ""Regular"", ""care"": ""Wipe clean"", ""season"": ""SS""}",SUP-SG-01,WH-SG-EAST,21.04,23.47,17.53,USD,4.4,4,255,ACTIVE,2024-04-22 14:00:00
2,ZL00002,Verdant Knit Column Dress W97-763,verdant-knit-column-dress-w97-763-2,Verdant,Women Fashion,2,Dresses,Women Fashion > Dresses,The Verdant Knit Column Dress W97-763 sits in Women Fashion > Dresses. Built for everyday use with category-appropriate materials and finishing. Sold by verified catalogue suppliers; inspect variant options for colour and size.,Verdant Knit Column Dress W97-763 | Dresses | Buy Online,"Shop Verdant Knit Column Dress W97-763 in Dresses (Women Fashion). Fast shipping, verified sellers, secure checkout. Order today.",8881140647254,"{""department"": ""Women Fashion"", ""product_type"": ""knit column dress"", ""origin_country"": ""IT"", ""warranty_months"": 3, ""material"": ""Wool blend"", ""fit"": ""Slim"", ""care"": ""Dry clean"", ""season"": ""AW""}",SUP-TH-04,WH-TH-BKK,56.7,76.37,47.25,USD,4.6,1,128,ACTIVE,2024-04-27 01:00:00
3,ZL00003,Nightingale Knit Column Dress Y92-448,nightingale-knit-column-dress-y92-448-3,Nightingale,Women Fashion,2,Dresses,Women Fashion > Dresses,The Nightingale Knit Column Dress Y92-448 sits in Women Fashion > Dresses. Built for everyday use with category-appropriate materials and finishing. Sold by verified catalogue suppliers; inspect variant options for colour and size.,Nightingale Knit Column Dress Y92-448 | Dresses | Buy Online,"Shop Nightingale Knit Column Dress Y92-448 in Dresses (Women Fashion). Fast shipping, verified sellers, secure checkout. Order today.",8889462890051,"{""department"": ""Women Fashion"", ""product_type"": ""knit column dress"", ""origin_country"": ""CN"", ""warranty_months"": 12, ""material"": ""Polyester"", ""fit"": ""Oversized"", ""care"": ""Machine wash cold"", ""season"": ""All-season""}",SUP-ID-03,WH-ID-JKT,107.34,121.19,89.45,USD,4.7,3,242,ACTIVE,2025-03-06 20:00:00
4,ZL00004,Atlas Peak Pleated Shirt Dress C53-121 with moisture-wicking lining,atlas-peak-pleated-shirt-dress-c53-121-4,Atlas Peak,Women Fashion,2,Dresses,Women Fashion > Dresses,The Atlas Peak Pleated Shirt Dress C53-121 with moisture-wicking lining sits in Women Fashion > Dresses. Built for everyday use with category-appropriate materials and finishing. Sold by verified catalogue suppliers; inspect variant options for colour and size.,Atlas Peak Pleated Shirt Dress C53-121 with moistu | Dresses,"Shop Atlas Peak Pleated Shirt Dress C53-121 with moisture-wicking lining in Dresses (Women Fashion). Fast shipping, verified sellers, secure checkout. Order tod",8885767434723,"{""department"": ""Women Fashion"", ""product_type"": ""pleated shirt dress"", ""origin_country"": ""DE"", ""warranty_months"": 3, ""material"": ""Wool blend"", ""fit"": ""Slim"", ""care"": ""Machine wash cold"", ""season"": ""SS""}",SUP-MY-02,WH-MY-KL,90.2,96.3,75.17,USD,4.7,1,495,ACTIVE,2024-09-20 07:00:00
5,ZL00005,Brightfolio Linen Sundress J64-813 (matte finish),brightfolio-linen-sundress-j64-813-5,Brightfolio,Women Fashion,2,Dresses,Women Fashion > Dresses,The Brightfolio Linen Sundress J64-813 (matte finish) sits in Women Fashion > Dresses. Built for everyday use with category-appropriate materials and finishing. Sold by verified catalogue suppliers; inspect variant options for colour and size.,Brightfolio Linen Sundress J64-813 (matte finish) | Dresses,"Shop Brightfolio Linen Sundress J64-813 (matte finish) in Dresses (Women Fashion). Fast shipping, verified sellers, secure checkout. Order today.",8882211533018,"{""department"": ""Women Fashion"", ""product_type"": ""linen sundress"", ""origin_country"": ""DE"", ""warranty_months"": 12, ""material"": ""Polyester"", ""fit"": ""Slim"", ""care"": ""Hand wash"", ""season"": ""SS""}",SUP-SG-01,WH-SG-WEST,116.81,142.95,97.34,USD,3.3,4,339,ACTIVE,2024-09-14 16:00:00
6,ZL00006,Kelp & Clay Midi Wrap Dress E43-218,kelp-clay-midi-wrap-dress-e43-218-6,Kelp & Clay,Women Fashion,2,Dresses,Women Fashion > Dresses,The Kelp & Clay Midi Wrap Dress E43-218 sits in Women Fashion > Dresses. Built for everyday use with category-appropriate materials and finishing. Sold by verified catalogue suppliers; inspect variant options for colour and size.,Kelp & Clay Midi Wrap Dress E43-218 | Dresses | Buy Online,"Shop Kelp & Clay Midi Wrap Dress E43-218 in Dresses (Women Fashion). Fast shipping, verified sellers, secure checkout. Order today.",8888442317076,"{""department"": ""Women Fashion"", ""product_type"": ""midi wrap dress"", ""origin_country"": ""DE"", ""warranty_months"": 3, ""material"": ""Linen"", ""fit"": ""Relaxed"", ""care"": ""Dry clean"", ""season"": ""All-season""}",SUP-CN-05,WH-CN-SZ,52.97,66.54,44.14,USD,3.6,1,330,ACTIVE,2024-02-17 20:00:00
7,ZL00007,Coppernest Linen Sundress Z95-984 (matte finish),coppernest-linen-sundress-z95-984-7,Coppernest,Women Fashion,2,Dresses,Women Fashion > Dresses,The Coppernest Linen Sundress Z95-984 (matte finish) sits in Women Fashion > Dresses. Built for everyday use with category-appropriate materials and finishing. Sold by verified catalogue suppliers; inspect variant options for colour and size.,Coppernest Linen Sundress Z95-984 (matte finish) | Dresses,"Shop Coppernest Linen Sundress Z95-984 (matte finish) in Dresses (Women Fashion). Fast shipping, verified sellers, secure checkout. Order today.",8885626331057,"{""department"": ""Women Fashion"", ""product_type"": ""linen sundress"", ""origin_country"": ""TH"", ""warranty_months"": 6, ""material"": ""Polyester"", ""fit"": ""Regular"", ""care"": ""Wipe clean"", ""season"": ""SS""}",SUP-PH-08,WH-TH-BKK,105.58,117.9,87.98,USD,3.7,2,386,ACTIVE,2024-04-24 00:00:00
8,ZL00008,Bluefinch Linen Sundress K61-813,bluefinch-linen-sundress-k61-813-8,Bluefinch,Women Fashion,2,Dresses,Women Fashion > Dresses,The Bluefinch Linen Sundress K61-813 sits in Women Fashion > Dresses. Built for everyday use with category-appropriate materials and finishing. Sold by verified catalogue suppliers; inspect variant options for colour and size.,Bluefinch Linen Sundress K61-813 | Dresses | Buy Online,"Shop Bluefinch Linen Sundress K61-813 in Dresses (Women Fashion). Fast shipping, verified sellers, secure checkout. Order today.",8885001002169,"{""department"": ""Women Fashion"", ""product_type"": ""linen sundress"", ""origin_country"": ""DE"", ""warranty_months"": 3, ""material"": ""Polyester"", ""fit"": ""Oversized"", ""care"": ""Wipe clean"", ""season"": ""All-season""}",SUP-CN-05,WH-CN-SZ,94.31,103.95,78.59,USD,4.1,1,222,ACTIVE,2024-06-04 09:00:00
9,ZL00009,Helix Care Midi Wrap Dress Y64-324,helix-care-midi-wrap-dress-y64-324-9,Helix Care,Women Fashion,2,Dresses,Women Fashion > Dresses,The Helix Care Midi Wrap Dress Y64-324 sits in Women Fashion > Dresses. Built for everyday use with category-appropriate materials and finishing. Sold by verified catalogue suppliers; inspect variant options for colour and size.,Helix Care Midi Wrap Dress Y64-324 | Dresses | Buy Online,"Shop Helix Care Midi Wrap Dress Y64-324 in Dresses (Women Fashion). Fast shipping, verified sellers, secure checkout. Order today.",8884665053135,"{""department"": ""Women Fashion"", ""product_type"": ""midi wrap dress"", ""origin_country"": ""DE"", ""warranty_months"": 12, ""material"": ""Cotton"", ""fit"": ""Slim"", ""care"": ""Machine wash cold"", ""season"": ""AW""}",SUP-VN-06,WH-VN-HCM,31.6,37.58,26.33,USD,4.2,4,177,ACTIVE,2025-03-01 17:00:00
10,ZL00010,Oak & Ember Linen Sundress X31-960 — limited edition,oak-ember-linen-sundress-x31-960-10,Oak & Ember,Women Fashion,2,Dresses,Women Fashion > Dresses,The Oak & Ember Linen Sundress X31-960 — limited edition sits in Women Fashion > Dresses. Built for everyday use with category-appropriate materials and finishing. Sold by verified catalogue suppliers; inspect variant options for colour and size.,Oak & Ember Linen Sundress X31-960 — limited editi | Dresses,"Shop Oak & Ember Linen Sundress X31-960 — limited edition in Dresses (Women Fashion). Fast shipping, verified sellers, secure checkout. Order today.",8884254540299,"{""department"": ""Women Fashion"", ""product_type"": ""linen sundress"", ""origin_country"": ""ID"", ""warranty_months"": 24, ""material"": ""Wool blend"", ""fit"": ""Regular"", ""care"": ""Wipe clean"", ""season"": ""All-season""}",SUP-HK-07,WH-MY-KL,75.57,79.96,62.97,USD,4.7,2,320,ACTIVE,2024-01-26 08:00:00
