index,name,price,image,source
1,"Nike Air Jordan 1 Red And Black",305,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/1.webp,dj-88-f0
2,"Nike Air Jordan 1 Red And Black Core",366.88,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/2.webp,dj-88-f1
3,"Nike Air Jordan 1 Red And Black Pro",428.75,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/3.webp,dj-88-f2
4,"Nike Air Jordan 1 Red And Black Street",490.63,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/4.webp,dj-88-f3
5,"Nike Air Jordan 1 Red And Black Trail",552.5,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp,dj-88-f4
6,"Nike Baseball Cleats",614.38,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/1.webp,dj-89-f0
7,"Nike Baseball Cleats Core",676.25,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/2.webp,dj-89-f1
8,"Nike Baseball Cleats Pro",738.13,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/3.webp,dj-89-f2
9,"Nike Baseball Cleats Street",800,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/4.webp,dj-89-f3
10,"Nike Baseball Cleats Trail",801,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp,dj-89-f4
11,"Puma Future Rider Trainers",1043.71,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/1.webp,dj-90-f0
12,"Puma Future Rider Trainers Core",1286.44,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/2.webp,dj-90-f1
13,"Puma Future Rider Trainers Pro",1529.14,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/3.webp,dj-90-f2
14,"Puma Future Rider Trainers Street",1771.86,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/4.webp,dj-90-f3
15,"Puma Future Rider Trainers Trail",2014.57,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp,dj-90-f4
16,"Sports Sneakers Off White & Red",2257.3,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/1.webp,dj-91-f0
