source_id,name,category,subcategories,store,price,compare_price,image_url,product_url
4,PUMA Essential Tape Leggings,Women,,umarstore,105.17,136.72,https://f.nooncdn.com/p/pzsku/Z502932A6C77B0C9B9589Z/45/_/1773474829/1b2978c4-74a9-442e-a267-568ccefd77c4.jpg,https://namshiglobalstore.com/product-detail?id=4&demo=0
5,FYOR Sunset Tropics Skirt Set,Women,,umarstore,88.78,115.41,https://f.nooncdn.com/p/pzsku/Z0F0038C02DEB5D9BE069Z/45/_/1775030925/405e245f-2707-45ef-b5ca-61e433fcdb7d.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=5&demo=0
6,Pleated A-Line Midi Skirt,Women,,umarstore,36.44,47.37,https://f.nooncdn.com/p/pzsku/Z82F88055EBBF2249A53FZ/45/1755515268/6f19fb1b-9ba2-48c9-b2a3-42c9aa1f782b.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=6&demo=0
7,Flora Bella,Accessories,Bags,umarstore,78.52,102.08,https://f.nooncdn.com/p/pzsku/ZE1C0805409E9679EEECFZ/45/_/1778138091/2d68286c-4a6c-4e71-b285-ba24ece93ac0.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=7&demo=0
8,HIGH STAR,Women,,umarstore,93.34,121.34,https://f.nooncdn.com/p/pzsku/Z37FA9550A460D0AD688AZ/45/_/1776901651/6a4b365d-c298-4895-b314-e57583727670.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=8&demo=0
9,Nike,Accessories,Bags,umarstore,69.74,90.66,https://f.nooncdn.com/p/pzsku/Z275D40154BEDFA2706B2Z/45/1763789825/352c6bc6-18f3-421b-a8a3-b93691d495e8.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=9&demo=0
10,NIKE,Women,,umarstore,138.76,180.39,https://f.nooncdn.com/p/pzsku/Z38068260BA08759F6B46Z/45/1764752082/eaf36bae-e5a6-473e-a3dd-741914a3eeb7.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=10&demo=0
11,BIRKENSTOCK,Women,,umarstore,99.4,129.22,https://f.nooncdn.com/p/pzsku/ZEF66CA48FA6AFDD4393DZ/45/_/1771573579/08c31bbf-2383-4f5a-84db-4e072391fff2.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=11&demo=0
12,BIRKENSTOCK,Women,,umarstore,96.18,125.03,https://f.nooncdn.com/p/pzsku/ZEDF606C9711ADBD03B56Z/45/_/1782197806/cbfef362-a622-436b-af27-34734686ba42.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=12&demo=0
13,Nike Initiator,Women,,umarstore,128.54,167.1,https://f.nooncdn.com/p/pzsku/Z429CF31007A011DAE28BZ/45/_/1776094507/5b0eff03-7905-4a66-b2eb-51bca49be1a2.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=13&demo=0
14,Nike,Women,,umarstore,143.58,186.65,https://f.nooncdn.com/p/pzsku/Z3F5F0DB573FE045518C2Z/45/1766841370/7014109d-7091-48f5-9264-8003e9eb0138.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=14&demo=0
15,Medium Brasilia Backpack 9.5 (24L),UNISEX,"Bags, NIKE",umarstore,108.32,140.82,https://f.nooncdn.com/p/pzsku/ZF1DA957F363A26C9A8C4Z/45/1766828402/af16786b-31d8-430f-8320-78532a2ac6a0.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=15&demo=0
16,Soleira,Women,,umarstore,102.13,132.77,https://f.nooncdn.com/p/pzsku/ZBA1F9A6C7AB54F06D5E3Z/45/_/1780749700/c7761075-e733-46ae-8ad6-9216f64d6cee.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=16&demo=0
17,PUMA,Women,,umarstore,52.87,68.73,https://f.nooncdn.com/p/pzsku/Z271AFB874E51BBD46567Z/45/_/1780056516/bbdc9a43-9118-4fc9-9f2e-11a124bd8430.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=17&demo=0
18,PARAJOHN Bubalio 30L School Backpack,UNISEX,"Bags, Backpacks",umarstore,117.43,152.66,https://f.nooncdn.com/p/pzsku/Z945D0574FC930178AD7BZ/45/1756709463/6c2f6102-b8ce-4560-9970-ce76f412488f.jpg?format=webp&amp;width=800,https://namshiglobalstore.com/product-detail?id=18&demo=0
59,Styli Styli Men Nav,Men,"Men, Clothing, Clothing Polo Shirts",umarstore,61.86,80.42,https://f.nooncdn.com/p/pzsku/ZC5C79812F48E902494EDZ/45/_/1773138155/47c09e20-8442-4050-a5e1-e7d64d73342b.jpg?format=webp&width=800,https://namshiglobalstore.com/product-detail?id=59&demo=0
60,H&M Slim Fit Textur,Men,"Men, Clothing, Clothing Shirts",umarstore,123.67,160.77,https://f.nooncdn.com/p/94f3230a9d5a502db9f588e0f60dab43|pzsku/Z308F4DE04FEB9B5FFF2DZ/45/1771129156/15635ed0-49e3-42f0-b9e7-873822da2dc3.jpg?format=webp&width=800,https://namshiglobalstore.com/product-detail?id=60&demo=0
458,Kelly Cadenas pendan,Kelly,Women,umarstore,3888.0,5054.4,"https://assets.hermes.com/is/image/hermesproduct/121333B%2000_front_wm_2?size=3000,3000&extend=0,0,0,0&align=0,0&$product_item_grid_g$&wid=800&hei=800",https://namshiglobalstore.com/product-detail?id=458&demo=0
459,"Kelly bracelet, smal",Kelly,Women,umarstore,6566.4,8536.32,"https://assets.hermes.com/is/image/hermesproduct/115454B%2000_front_wm_1?size=3000,3000&extend=0,0,0,0&align=0,0&$product_item_grid_g$&wid=800&hei=800",https://namshiglobalstore.com/product-detail?id=459&demo=0
