source_id,name,category,subcategories,store
4,PUMA Essential Tape Leggings,Women,,umarstore
5,FYOR Sunset Tropics Skirt Set,Women,,umarstore
6,Pleated A-Line Midi Skirt,Women,,umarstore
7,Flora Bella,Accessories,Bags,umarstore
8,HIGH STAR,Women,,umarstore
9,Nike,Accessories,Bags,umarstore
10,NIKE,Women,,umarstore
11,BIRKENSTOCK,Women,,umarstore
12,BIRKENSTOCK,Women,,umarstore
13,Nike Initiator,Women,,umarstore
14,Nike,Women,,umarstore
15,Medium Brasilia Backpack 9.5 (24L),UNISEX,"Bags, NIKE",umarstore
16,Soleira,Women,,umarstore
17,PUMA,Women,,umarstore
18,PARAJOHN Bubalio 30L School Backpack,UNISEX,"Bags, Backpacks",umarstore
59,Styli Styli Men Nav,Men,"Men, Clothing, Clothing Polo Shirts",umarstore
60,H&M Slim Fit Textur,Men,"Men, Clothing, Clothing Shirts",umarstore
458,Kelly Cadenas pendan,Kelly,Women,umarstore
459,"Kelly bracelet, smal",Kelly,Women,umarstore
460,"Kelly Cadenas ring,",Kelly,Women,umarstore
461,"Kelly watch, Mini mo",Rings,Women,umarstore
462,S1000 Plus Wireless,Computer Mouse,Computers & Accessories,umarstore
463,Kelly ring,Kelly,Women,umarstore
464,Chaine d'ancre Danae,Chaînes d’ancre,Women,umarstore
465,Kelly Gavroche neckl,Kelly,Women,umarstore
466,DL1368040 STERLING S,Bracelets,"Women, Clothing",Elite Essentials
467,Adidas BLACK Gear Me,Women,"Bags, Women",Elite Essentials
468,Styli Active,Men,,Elite Essentials
469,Kelly Clochette earr,Kelly,Women,Elite Essentials
470,Take Two,Men,,Elite Essentials
471,"Kelly bracelet, smal",Kelly,Women,umarstore
472,Kelly Clochette earr,Kelly,Women,umarstore
473,Kelly Gavroche dangl,Kelly,Women,umarstore
474,NIKE,Women,,Elite Essentials
475,Nike Initiator,Women,,Elite Essentials
476,Nike,Women,,Elite Essentials
477,Flora Bella,Accessories,Bags,Elite Essentials
478,Styli,Men,,Elite Essentials
479,Medium Brasilia Backpack 9.5 (24L),UNISEX,"Bags, NIKE",Elite Essentials
480,CALVIN KLEIN,Men,Bags,Elite Essentials
481,FYOR,Women,Bags,Elite Essentials
482,Mango Man 100% cotton slim-fit striped shirt for Men | Best Price UAE,Men,"Men, Clothing, Clothing Shirts",Elite Essentials
483,VALENTINO BY MARIO V,Women,"Bags, Women",Elite Essentials
484,CALVIN KLEIN Logo B,Women,"Women, Clothing",Elite Essentials
485,CALVIN KLEIN SHORELI,Women,"Women, Clothing",Elite Essentials
486,Calvin Klein Jeans,Women,Women,Elite Essentials
487,Calvin Klein Jeans,Women,"Women, Clothing",Elite Essentials
488,Adidas BLACAR/BLACAR,Men,Men,Elite Essentials
489,اشتري فيرزاتشي ساعة,Men,Men,Elite Essentials
490,DIESEL Logo Elegant,Men,Men,Elite Essentials
491,CALVIN KLEIN BLACK S,Men,Men,Elite Essentials
492,GLAMOROUS BLUE Heele,Women,Women,Elite Essentials
493,TOMMY JEANS Dark Nig,Women,"Bags, Women",Elite Essentials
494,THE NORTH FACE Black,Women,"Bags, Women",Elite Essentials
495,THE NORTH FACE Black,Men,"Bags, Men",Elite Essentials
496,Celeste BROWN Women,Women,Women,Elite Essentials
497,Ella Limited Edition,Women,Women,Elite Essentials
498,Celeste BROWN Women,Women,Women,Elite Essentials
499,FOSSIL Carlie Leath,Women,Women,Elite Essentials
501,PINACOLADA Women's,Women,"Women, Clothing",Michael’s fashion store
502,New Balance MOONBEAM,Women,Women,Michael’s fashion store
503,Ionic Gold Plated St,Women's Earrings Stud,Women,Michael’s fashion store
504,Ashlyn Logo Detail C,"Women's Wallets, Card Cases & Money Organizers",Women,Michael’s fashion store
505,Nike TEAM CRIMSON/WH,Women,Women,Michael’s fashion store
506,New Balance WHITE (1,Women,Women,Michael’s fashion store
507,Eros EDP For Women 1,Fragrance,Fragrance,Michael’s fashion store
508,Nike PHANTOM/PHANTOM,kids,"Kids Boys, Kids Shoes Boys",Michael’s fashion store
509,Ergonomic gaming cha,Video Game Chairs,Furniture,Michael’s fashion store
510,Medium Brasilia Backpack 9.5 (24L),UNISEX,"Bags, NIKE",Michael’s fashion store
511,ELLA Off Shoulder T,Women,"Women, Clothing",Michael’s fashion store
512,COACH 2-Hand Cadie,Women,Women,Michael’s fashion store
513,CHASE Abir 2.0 Dres,Women,"Women, Clothing",Michael’s fashion store
514,Hermès Ex-Libris pen,Equestrian,Women,Elite Essentials
515,"Mix and H necklace,",Equestrian,Women,Elite Essentials
516,"Cape Cod watch, Smal",Timepieces,Women,Elite Essentials
527,Just Nature mint gre,Women,"Women, Clothing",Michael’s fashion store
528,PUMA,Women,,Michael’s fashion store
529,Sunfere Tiana Cap S,Women,"Women, Clothing",Michael’s fashion store
530,Sunfere Every Love,Women,"Women, Clothing",Michael’s fashion store
531,LACOSTE L12Sw Analo,Men,Women,Michael’s fashion store
532,TOMMY HILFIGER,Men,Bags,Michael’s fashion store
533,TOMMY HILFIGER,Men,Bags,Michael’s fashion store
534,PARAJOHN Bubalio 30L School Backpack,UNISEX,"Bags, Backpacks",Michael’s fashion store
535,New Balance 740 cas,Women,Women,Michael’s fashion store
536,New Balance Black 53,Women,Women,Michael’s fashion store
537,Bella Barnett Palez,Women,"Women, Clothing",Michael’s fashion store
538,Soleira,Women,,Michael’s fashion store
539,Nike ANTHRACITE/BLUE,kids,"Kids Boys, Kids Shoes Boys",Michael’s fashion store
540,Nike Initiator,Women,,Michael’s fashion store
541,VALENTINO BY MARIO V,Women,"Bags, Women",Michael’s fashion store
542,Jordan BROWN KELP/KH,Women,Women,Michael’s fashion store
543,Threadz by Ajooni P,Women,"Women, Clothing",Michael’s fashion store
544,CALVIN KLEIN Monogr,Women,"Bags, Women",Michael’s fashion store
545,SURALLOW RX 580 Gra,Graphics Cards,Computers & Accessories,The Fashion Vault
546,TUF Gaming RTX 5070,Graphics Cards,Computers & Accessories,The Fashion Vault
547,Nova Gaming PC - Int,Tower PCs,Computers & Accessories,The Fashion Vault
548,Dark Nova Gaming PC,Tower PCs,Computers & Accessories,The Fashion Vault
549,HiFly Gaming PC - In,Tower PCs,Computers & Accessories,The Fashion Vault
550,32 Inch Curved Gamin,Monitors,Computers & Accessories,The Fashion Vault
551,27 Odyssey G5 QHD 20,Monitors,Computers & Accessories,The Fashion Vault
552,Men Stainless Steel,Men's Wrist Watches,Men,The Fashion Vault
553,Men Stainless Steel,Men's Wrist Watches,Men,The Fashion Vault
554,Pleated A-Line Midi Skirt,Women,,Michael’s fashion store
555,Flora Bella,Accessories,Bags,Michael’s fashion store
556,Hermès Ex-Libris ear,Equestrian,Women,Michael’s fashion store
557,Point Sellier left s,Earrings,Women,Michael’s fashion store
558,Collier de chien rin,Equestrian,Women,Michael’s fashion store
559,Fil Rond wedding ban,Precious moments,Women,Michael’s fashion store
560,Ariane wedding band,Precious moments,Women,Michael’s fashion store
561,Ariane wedding band,Precious moments,Women,Michael’s fashion store
562,Ever Herakles weddin,Precious moments,Women,Michael’s fashion store
563,DIESEL Logo Elegant,Men,Men,Elite Haven
564,Kelly ring,Kelly,Women,Elite Haven
565,Kelly Cadenas pendan,Kelly,Women,Elite Haven
