index,name,price,image,source
1,"Blue Frock",305,https://cdn.dummyjson.com/product-images/tops/blue-frock/1.webp,dj-162
2,"Girl Summer Dress",470,https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/1.webp,dj-163
3,"Gray Dress",635,https://cdn.dummyjson.com/product-images/tops/gray-dress/1.webp,dj-164
4,"Short Frock",800,https://cdn.dummyjson.com/product-images/tops/short-frock/1.webp,dj-165
5,"Tartan Dress",801,https://cdn.dummyjson.com/product-images/tops/tartan-dress/1.webp,dj-166
6,"Black Women's Gown",1650.5,https://cdn.dummyjson.com/product-images/womens-dresses/black-women's-gown/1.webp,dj-177
7,"Corset Leather With Skirt",2500,https://cdn.dummyjson.com/product-images/womens-dresses/corset-leather-with-skirt/1.webp,dj-178
8,"Corset With Black Skirt",2501,https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/1.webp,dj-179
9,"Dress Pea",2750.5,https://cdn.dummyjson.com/product-images/womens-dresses/dress-pea/1.webp,dj-180
10,"Marni Red & Black Suit",3000,https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/1.webp,dj-181
11,"BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats",3001,https://fakestoreapi.com/img/51Y5NI-I5jL._AC_UX679_t.png,fs-15
12,"Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket",3500.5,https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_t.png,fs-16
13,"Rain Jacket Women Windbreaker Striped Climbing Raincoats",4000,https://fakestoreapi.com/img/71HblAHs5xL._AC_UY879_-2t.png,fs-17
14,"MBJ Women's Solid Short Sleeve Boat Neck V",4001,https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_t.png,fs-18
15,"Opna Women's Short Sleeve Moisture",4500.5,https://fakestoreapi.com/img/51eg55uWmdL._AC_UX679_t.png,fs-19
16,"DANVOUY Womens T Shirt Casual Cotton Short",5000,https://fakestoreapi.com/img/61pHAEJ4NML._AC_UX679_t.png,fs-20
