name,brand,category,price_usd,list_price_usd,product_url
1080,New Balance,Sports > Women's Sports > Footwear > Sneakers,102.37,180.55,https://www.zalora.com.ph/p/new-balance-1080-white-4216808
10CM Suede Slingback High Heel BY107-31,Twenty Eight Shoes,Women > Shoes > Heels > High Heels,68.11,83.06,https://www.zalora.com.ph/p/twenty-eight-shoes-10cm-suede-slingback-high-heel-by107-31-n-a-4264615
11CM Faux Patent Leather Pointed High Heel Shoes HZL0070,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,63.0,63.0,https://www.zalora.com.ph/p/twenty-eight-shoes-11cm-faux-patent-leather-pointed-high-heel-shoes-hzl0070-black-2610099
1973 Model Black Women's Sneakers,Soho,Women > Shoes > Sneakers,33.66,51.24,https://www.zalora.com.ph/p/soho-1973-model-black-women-s-sneakers-black-3991721
2 Layers Slimming Effect Midi Skirt,AIR SPACE,Women > Clothing > Skirts > Midi Skirts,18.41,34.27,https://www.zalora.com.ph/p/air-space-2-layers-slimming-effect-midi-skirt-green-3725628
2-pack 20 denier tights,H&M,Women > Clothing > Socks & Tights > Invisible socks,10.0,10.0,https://www.zalora.com.ph/p/hm-2-pack-20-denier-tights-beige-3146948
2.5CM Beaded Suede Low Heels IF21004,Twenty Eight Shoes,Women > Shoes > Heels > Low Heels,62.59,69.69,https://www.zalora.com.ph/p/twenty-eight-shoes-2-5cm-beaded-suede-low-heels-if21004-red-2902765
2.5CM Patent Leather Slingback Heel TE578-2,Twenty Eight Shoes,Women > Shoes > Heels > Low Heels,62.18,78.07,https://www.zalora.com.ph/p/twenty-eight-shoes-2-5cm-patent-leather-slingback-heel-te578-2-black-3362833
2.5CM Pearl Chain Strap Mary Jane Shoes IF2218,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,58.23,64.19,https://www.zalora.com.ph/p/twenty-eight-shoes-2-5cm-pearl-chain-strap-mary-jane-shoes-if2218-black-3207503
2.5CM Synthetic Leather Buckle Loafers TE320-2,Twenty Eight Shoes,Women > Shoes > Flats > Loafers & Boat Shoes,44.88,64.04,https://www.zalora.com.ph/p/twenty-eight-shoes-2-5cm-synthetic-leather-buckle-loafers-te320-2-white-2985168
2.5CM Synthetic Leather Buckle Loafers TE320-2,Twenty Eight Shoes,Women > Shoes > Flats > Loafers & Boat Shoes,44.88,64.04,https://www.zalora.com.ph/p/twenty-eight-shoes-2-5cm-synthetic-leather-buckle-loafers-te320-2-n-a-2985165
2002 Classic Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,146.99,155.01,https://www.zalora.com.ph/p/new-balance-2002-classic-lifestyle-shoes-grey-3604096
2024 New Women's Off Shoulder Sexy Loose Beach Skirt CA24061810W,Sunnydaysweety,Women > Clothing > Dresses,49.14,49.14,https://www.zalora.com.ph/p/sunnydaysweety-2024-new-women-s-off-shoulder-sexy-loose-beach-skirt-ca24061810w-white-3472272
2025 S/S New summer little fresh air round neck puff sleeve print fishtail dress  CA061512,Sunnydaysweety,Women > Clothing > Dresses > Summer Dresses,57.12,57.12,https://www.zalora.com.ph/p/sunnydaysweety-2025-s-s-new-summer-little-fresh-air-round-neck-puff-sleeve-print-fishtail-dress-ca061512-purple-2982999
237,New Balance,,50.57,90.11,https://www.zalora.com.ph/p/new-balance-237-multi-4081705
2442 Ballerina Lace Linen Beige Natural-Beige,Superga,Women > Shoes > Flats > Ballerinas,56.32,56.32,https://www.zalora.com.ph/p/superga-2442-ballerina-lace-linen-beige-natural-beige-beige-4228669
2750-Cotu Classic,Superga,Women > Shoes > Women's Shoes,42.0,42.0,https://www.zalora.com.ph/p/superga-2750-cotu-classic-black-4065516
2750-Cotu Classic Grey Md-F Avorio,Superga,Men > Shoes > Sneakers,32.45,43.26,https://www.zalora.com.ph/p/superga-2750-cotu-classic-grey-md-f-avorio-grey-3648214
3-D Texture Weave Sequin Detail Skirt,iROO,Women > Clothing > Skirts,99.47,99.47,https://www.zalora.com.ph/p/iroo-3-d-texture-weave-sequin-detail-skirt-white-3710200
3/4 Puff Sleeves Crop Blouse,Trendyol,Women > Clothing > Tops > Blouses,10.0,47.45,https://www.zalora.com.ph/p/trendyol-3-4-puff-sleeves-crop-blouse-red-3474849
3009 Canvas Espadrilles Blue-Natural,Superga,Women > Shoes > Flats > Espadrilles,43.26,43.26,https://www.zalora.com.ph/p/superga-3009-canvas-espadrilles-blue-natural-navy-4321155
3010 Mary Jane Espadrilles White-Natural,Superga,Women > Shoes > Flats > Espadrilles,48.16,48.16,https://www.zalora.com.ph/p/superga-3010-mary-jane-espadrilles-white-natural-white-4321169
327 Classic Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,103.86,112.56,https://www.zalora.com.ph/p/new-balance-327-classic-lifestyle-shoes-red-4124368
327 Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,112.56,112.56,https://www.zalora.com.ph/p/new-balance-327-lifestyle-shoes-4185357
3CM Pointed Chunky Heel Pumps WW5153-1,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,70.26,81.79,https://www.zalora.com.ph/p/twenty-eight-shoes-3cm-pointed-chunky-heel-pumps-ww5153-1-black-3713269
3CM Rivet T-strap Slingback Mid Heels WW875-5,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,68.99,88.19,https://www.zalora.com.ph/p/twenty-eight-shoes-3cm-rivet-t-strap-slingback-mid-heels-ww875-5-n-a-3860651
4.5CM Color Matching Mary Jane Shoes XJ3321-6,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,40.96,68.11,https://www.zalora.com.ph/p/twenty-eight-shoes-4-5cm-color-matching-mary-jane-shoes-xj3321-6-black-2780529
4.5CM Microfiber Leather Slingback Mid Heel BY2050-36,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,64.4,80.5,https://www.zalora.com.ph/p/twenty-eight-shoes-4-5cm-microfiber-leather-slingback-mid-heel-by2050-36-n-a-4310041
4.5CM Square Toe Slingback Mid Heels XJ333-15,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,45.86,65.35,https://www.zalora.com.ph/p/twenty-eight-shoes-4-5cm-square-toe-slingback-mid-heels-xj333-15-brown-2970824
