sku,name,brand,category,color,price_usd,list_price_usd,special_price_usd,price_php_original,list_price_php_original,currency,seller,image_url,product_url
CAB86SHBE24B97GS,1080,New Balance,Sports > Women's Sports > Footwear > Sneakers,White (106),102.37,180.55,102.37,6271.0,11060.0,USD,ZALORA,https://dynamic.zacdn.com/DS0djIxY0aObj_kBff3amZ5Od9g=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-8571-8086124-1.jpg,https://www.zalora.com.ph/p/new-balance-1080-white-4216808
114DDSH71DF0D7GS,10CM Suede Slingback High Heel BY107-31,Twenty Eight Shoes,Women > Shoes > Heels > High Heels,Nude,68.11,83.06,68.11,4172.16,5088.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/qkXGLyBLKhz04_Kqq_ACEO4Eigw=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-5751-5164624-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-10cm-suede-slingback-high-heel-by107-31-n-a-4264615
1E8F7SHCA981CEGS,11CM Faux Patent Leather Pointed High Heel Shoes HZL0070,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,black,63.0,63.0,,3859.0,3859.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/W3J73vn0CbeKgfu-eERPCXb6qEE=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-6284-9900162-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-11cm-faux-patent-leather-pointed-high-heel-shoes-hzl0070-black-2610099
54837SHB082C78GS,1973 Model Black Women's Sneakers,Soho,Women > Shoes > Sneakers,Black,33.66,51.24,33.66,2062.0,3139.0,USD,ZALORA,https://dynamic.zacdn.com/H63MhrW2g1E2MJ6PMopd5BC0I9g=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/soho-4053-1271993-1.jpg,https://www.zalora.com.ph/p/soho-1973-model-black-women-s-sneakers-black-3991721
A5AF3AAAA28386GS,2 Layers Slimming Effect Midi Skirt,AIR SPACE,Women > Clothing > Skirts > Midi Skirts,Khaki,18.41,34.27,18.41,1128.0,2099.0,USD,ZALORA,https://dynamic.zacdn.com/ijxPG1K67ogcpGTF2Dyx3k0jh-s=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/air-space-0859-8265273-1.jpg,https://www.zalora.com.ph/p/air-space-2-layers-slimming-effect-midi-skirt-green-3725628
50AB6AAD1C71BDGS,2-pack 20 denier tights,H&M,Women > Clothing > Socks & Tights > Invisible socks,Beige Medium Dusty,10.0,10.0,,399.0,399.0,USD,H&M Global,https://dynamic.zacdn.com/Mu8RtNCor17gmTOQJvqd2QbqrHM=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/hm-9497-8496413-1.jpg,https://www.zalora.com.ph/p/hm-2-pack-20-denier-tights-beige-3146948
7F8CCSH48F8F61GS,2.5CM Beaded Suede Low Heels IF21004,Twenty Eight Shoes,Women > Shoes > Heels > Low Heels,Red,62.59,69.69,62.59,3834.0,4269.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/llNtDRrhW_aFsd2CYM3d3DfnMZA=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-1571-5672092-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-2-5cm-beaded-suede-low-heels-if21004-red-2902765
1D6B3SH4C0DC35GS,2.5CM Patent Leather Slingback Heel TE578-2,Twenty Eight Shoes,Women > Shoes > Heels > Low Heels,Black,62.18,78.07,62.18,3809.0,4782.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/lbe-cyxfQ0Dx9QS8r06JPPMpyKQ=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-2575-3382633-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-2-5cm-patent-leather-slingback-heel-te578-2-black-3362833
E9DBESHEA4CA24GS,2.5CM Pearl Chain Strap Mary Jane Shoes IF2218,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,Black,58.23,64.19,58.23,3567.0,3932.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/wJChdMnaG2B9PqtIzgORiIMLnkI=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-9042-3057023-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-2-5cm-pearl-chain-strap-mary-jane-shoes-if2218-black-3207503
3036ASH1DB9284GS,2.5CM Synthetic Leather Buckle Loafers TE320-2,Twenty Eight Shoes,Women > Shoes > Flats > Loafers & Boat Shoes,Offwhite,44.88,64.04,44.88,2749.0,3923.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/1wpSwHb8j3lXX1C9JF8kzhphi2w=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-7454-8615892-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-2-5cm-synthetic-leather-buckle-loafers-te320-2-white-2985168
B6CAESHBA55F1AGS,2.5CM Synthetic Leather Buckle Loafers TE320-2,Twenty Eight Shoes,Women > Shoes > Flats > Loafers & Boat Shoes,Coffee,44.88,64.04,44.88,2749.0,3923.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/IXP_gOTmtonU66OECOq7UpAPqWY=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-7453-5615892-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-2-5cm-synthetic-leather-buckle-loafers-te320-2-n-a-2985165
B7252SH40A5561GS,2002 Classic Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,Castlerock,146.99,155.01,146.99,9004.0,9495.0,USD,ZALORA,https://dynamic.zacdn.com/WWryz5C0RJ3IsWMIeEiqzqL78zs=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-3623-6904063-1.jpg,https://www.zalora.com.ph/p/new-balance-2002-classic-lifestyle-shoes-grey-3604096
20E68AA27CDE0BGS,2024 New Women's Off Shoulder Sexy Loose Beach Skirt CA24061810W,Sunnydaysweety,Women > Clothing > Dresses,white,49.14,49.14,,3010.0,3010.0,USD,sunnydaysweety,https://dynamic.zacdn.com/Qak25ruMMgaZJ_liXpo-G2_cyYA=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/sunnydaysweety-2699-2722743-1.jpg,https://www.zalora.com.ph/p/sunnydaysweety-2024-new-women-s-off-shoulder-sexy-loose-beach-skirt-ca24061810w-white-3472272
DE00BAAAD908ACGS,2025 S/S New summer little fresh air round neck puff sleeve print fishtail dress  CA061512,Sunnydaysweety,Women > Clothing > Dresses > Summer Dresses,Violet,57.12,57.12,,3499.0,3499.0,USD,sunnydaysweety,https://dynamic.zacdn.com/K_t-DayY3bEH7d8A-aqluW2yaXg=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/sunnydaysweety-4218-9992892-1.jpg,https://www.zalora.com.ph/p/sunnydaysweety-2025-s-s-new-summer-little-fresh-air-round-neck-puff-sleeve-print-fishtail-dress-ca061512-purple-2982999
DF937SHCC19571GS,237,New Balance,,Sea Salt (108),50.57,90.11,50.57,3098.0,5520.0,USD,ZALORA,https://dynamic.zacdn.com/n0pG5ahlsLU9xBvSKNL0_ONpBow=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-7461-5071804-1.jpg,https://www.zalora.com.ph/p/new-balance-237-multi-4081705
6D8B3SH80E7E13GS,2442 Ballerina Lace Linen Beige Natural-Beige,Superga,Women > Shoes > Flats > Ballerinas,Beige Natural-Beige,56.32,56.32,,3450.0,3450.0,USD,"Stores Specialists, Inc. (Ecommerce Warehouse)",https://dynamic.zacdn.com/uiKzTWuVexlW8gn0BOuWeq9pY0s=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/superga-2693-9668224-1.jpg,https://www.zalora.com.ph/p/superga-2442-ballerina-lace-linen-beige-natural-beige-beige-4228669
BF81CSH19A77EBGS,2750-Cotu Classic,Superga,Women > Shoes > Women's Shoes,Full Black,42.0,42.0,,2573.0,2573.0,USD,ZALORA,https://dynamic.zacdn.com/L0tyyVXOCo2fdcn8NaCYDTjFh5g=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/superga-8703-6155604-1.jpg,https://www.zalora.com.ph/p/superga-2750-cotu-classic-black-4065516
5D428SH3833A2DGS,2750-Cotu Classic Grey Md-F Avorio,Superga,Men > Shoes > Sneakers,Grey Md-F Avorio,32.45,43.26,32.45,1987.5,2650.0,USD,"Stores Specialists, Inc. (Ecommerce Warehouse)",https://dynamic.zacdn.com/PvjfHd2cyuTIRWLyiHpQt284aHU=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/superga-4901-4128463-1.jpg,https://www.zalora.com.ph/p/superga-2750-cotu-classic-grey-md-f-avorio-grey-3648214
4F009AAA9084DCGS,3-D Texture Weave Sequin Detail Skirt,iROO,Women > Clothing > Skirts,white,99.47,99.47,,6093.0,6093.0,USD,iROO Official,https://dynamic.zacdn.com/CK59L-RmA1dHLmmUwxh5OrE5ulI=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/iroo-9777-0020173-1.jpg,https://www.zalora.com.ph/p/iroo-3-d-texture-weave-sequin-detail-skirt-white-3710200
F76AEAAAAC0512GS,3/4 Puff Sleeves Crop Blouse,Trendyol,Women > Clothing > Tops > Blouses,Scarlet,10.0,47.45,10.0,379.0,1799.0,USD,ZALORA,https://dynamic.zacdn.com/8SkhiSdrQrZ5lApyZ0RtsoHJRL0=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/trendyol-8562-9484743-1.jpg,https://www.zalora.com.ph/p/trendyol-3-4-puff-sleeves-crop-blouse-red-3474849
3DEDDSH4EAF7FDGS,3009 Canvas Espadrilles Blue-Natural,Superga,Women > Shoes > Flats > Espadrilles,Navy,43.26,43.26,,2650.0,2650.0,USD,"Stores Specialists, Inc. (Ecommerce Warehouse)",https://dynamic.zacdn.com/pYtYmEzY3AeTAj1vly30q8GbfB8=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/superga-4032-5511234-1.jpg,https://www.zalora.com.ph/p/superga-3009-canvas-espadrilles-blue-natural-navy-4321155
B3F5CSHD2ACB0AGS,3010 Mary Jane Espadrilles White-Natural,Superga,Women > Shoes > Flats > Espadrilles,White,48.16,48.16,,2950.0,2950.0,USD,"Stores Specialists, Inc. (Ecommerce Warehouse)",https://dynamic.zacdn.com/piXFvUxpPSFXwKJsOm_mLSEpJmk=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/superga-4036-9611234-1.jpg,https://www.zalora.com.ph/p/superga-3010-mary-jane-espadrilles-white-natural-white-4321169
2F0A6SH93ADD3BGS,327 Classic Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,Washed Burgundy,103.86,112.56,103.86,6362.0,6895.0,USD,ZALORA,https://dynamic.zacdn.com/-OQO3w_OHUENTDbjEtGzJA2sJ1E=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-8813-8634214-1.jpg,https://www.zalora.com.ph/p/new-balance-327-classic-lifestyle-shoes-red-4124368
4C7ADSH81CA5E3GS,327 Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,Moonbeam,112.56,112.56,,6895.0,6895.0,USD,ZALORA,https://dynamic.zacdn.com/Zlq3J5L8Y9OtL7K7vRPfdbngM74=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-1723-7535814-1.jpg,https://www.zalora.com.ph/p/new-balance-327-lifestyle-shoes-4185357
F717DSH559DD14GS,3CM Pointed Chunky Heel Pumps WW5153-1,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,Black,70.26,81.79,70.26,4304.0,5010.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/XNPIEhBMkddZn5nRQvk3hH6qghk=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-0194-9623173-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-3cm-pointed-chunky-heel-pumps-ww5153-1-black-3713269
55A93SHE0A67B5GS,3CM Rivet T-strap Slingback Mid Heels WW875-5,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,Nude,68.99,88.19,68.99,4226.0,5402.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/W1DCVkT4evCi0hVE54RJnze7yXE=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-1605-1560683-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-3cm-rivet-t-strap-slingback-mid-heels-ww875-5-n-a-3860651
E87ABSHFCB59AEGS,4.5CM Color Matching Mary Jane Shoes XJ3321-6,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,Black,40.96,68.11,40.96,2509.0,4172.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/XnYtJbMgyWojg0GBwjk45GBrJZo=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-1068-9250872-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-4-5cm-color-matching-mary-jane-shoes-xj3321-6-black-2780529
